review_id,user_id,business_id,stars,useful,funny,cool,text,date
wdQqQGfxFlEWs7lffhoKfg,DCcweTztEpGjZrtHhCWMcQ,Nxg73OigmRQQq0d1pKtkUQ,3,0,0,0,If you can't think of somewhere to go then this is a good place to check out.  Its usually about 70 % full every time I visit and never had to wait for seats. I usually get the rice or the vermicelli dishes with chicken or pork or beef or spring rolls depending on what I am craving at the time.   Its not amazing but it's not a let down either. Prices are fair and portion sizes are reasonable.,2017-09-05 13:54:52
mzVuulvJgIKdpPNNeDLZPQ,7FGaox4G5LG361eZkx4o_Q,E7VRsyNQWPteH6_qI4j7bw,4,0,0,0,This is my go-to place for delivery when I'm at work.  I always get the pad Thai spicy level 4. It's always best to start with a low number and then add the spice they give you if you want it more spicy.  Always big portions!  Today I decided to add some vegetable egg rolls. Actually came with FIVE medium egg rolls.  Most places seem to give you one or two so I'm happy with that. I'll definitely have leftovers. Lol.,2016-10-11 03:30:38
oYO6dmYDlSzkz6MOGSwpIw,lcVZUbFJ2E8pQp3b3X1CvQ,PyIa-6fGY2IzCtwNDe0k8w,1,0,0,0,"This is getting only one start to hopefully get the attention of the manager or owner here. obviously your candies like bar none, but your service at this location is awful. 
Just a few minutes ago the store had five people working behind the chocolate bar and nobody on the other side checking out people that just wanted to buy boxes or items that were ready. Myself & 1 other put our armful of stuff down & walked out after waiting far too long. 
This isn't a 1 time issue. These seems to be the norm. Please please correct this mess.",2017-05-09 18:54:42
j84GCyDJOURext2IDbJwKw,1fNQRju9gmoCEvbPQBSo7w,TB2C_-YE4tECas-wyf8LdA,5,0,0,0,"I didn't even see the big controversial parade this year. , Just watched parts of it from my balcony. I did wander along Church Street on the Friday and Saturday. Everyone was there , from every walk of life , and all love was celebrated. Everyone was in a good mood and the vibe was just wonderful. While the crowds can get overwhelming and I'm not a big glitter and dance man , this festival is one of the things that makes Toronto so much fun. If you haven't gone, go, no matter who you are. You might learn something and you will have lots of fun doing it.",2016-07-11 04:34:27
CJtHOIDpmDj9alZreANojg,r9tjKaqLvLKF7PvDnUsFnA,9Jo1pu0y2zU6ktiwQm6gNA,3,1,0,2,"I liked this location.  Much more seating than the Scottsdale one.  Good customer service, clean, well organized.  I had the fish tacos.  I do not like that you have to get 2 of them.  I am not a big eater and they boxed up my other one.  Flavor was good, but it seems a bit dry to me.  I need to try some other items because the fish taco does not do it for me.",2017-04-16 16:59:46
H24QgZHnUre7IQfSMVB6MQ,DGI7LT4-fmllzJZl-OhklA,BgAV4IwXkd8gpuyUJX2wnQ,2,2,0,0,"Nothing special...

We didn't try the pizza, which is the attraction.

We had minestrone soup to start. Cubed fresh veggies and a nice broth. Spaghetti and meatballs, pistachio crusted sea bass, and I requested a special plate of meatballs coated in mozzarella and marinara round out the service.

The fish was very nice. The meatballs were average...

If my glass was kept full, the tea was served with a tea bag and the fish didn't have go back I guess we would of had a nice dinner.

Don't see a reason to be back.",2013-12-23 01:14:33
11spfHjGDcz60KvQ550U6g,aC4Z4NVkbjyrj0yPy_16ww,IsN0qEzgAXBjbT3qn6lokA,2,0,0,0,"While the food is good, the service is terrible.  We went on Sunday evening, when kids are supposed to be free.  We were charged for our oldest child without anyone even saying anything, and when we asked about it, they actually questioned her age.  The manager rolled his eyes when we explained that our child was 12.  Seriously?  My kids aren't even big for their ages, especially compared to many of their friends.  Ironically, our daughter wasn't even over the age limit, but even if she was, was it really worth it to lose regular customers over one $5 meal?  We had actually eaten here at least 6 times this summer, and after this experience, we will not go back.  Good call, manager... hope it was worth it.",2012-09-04 01:58:35
iSbL7skPOmhYJc4gn-esnQ,zNzeCh4mZPZsdGU1uV3z7w,tOhzbIoz_UHhzuXiGOEYgQ,4,0,0,0,This is my go to theater. The line length is never very long and the movies are not as packed as other theaters. The service is good and the establishment itself is clean.,2017-01-10 18:49:55
UeRAm7d3XroyAGw2zijKEQ,KyieFxrQxDx6ncUVLaCPAQ,K1ekU1q26tNrImHrt3rr2A,2,0,1,0,I've only been here once. And like any theater they have to have comfy seats for a 2hr movie. For some unknown reason this place made me choose from a recline-able chair that doesn't let the arm rest go up or a stiff chair that lets the arm rest go up. The two different chairs alternated by each row. I just don't understand how come we couldn't have both???,2010-11-05 19:21:37
a-OsnSXDSCyws8GhIFZR0Q,bFvlyU86jr5N1xQYdAIrUQ,MjWwjPErWyFU9nv6NQKYgA,5,2,0,1,"Come experience this place with the 'after 9 menu' for 25$ where you get an appetizer and main dish. Get the rib bone steak. I'm not going to lie this is a very good steak! May not be the best ever but I very much enjoyed it. You get bread, coleslaw and picked on the side which is a great appetizer. Service is classy, accommodating and friendly. Atmosphere is classy and like a typical steak house.",2016-02-06 17:49:19
